Problem Name;Row Type;Title;Body Text;Answer;answerType;HintID;Dependency;mcChoices;Images (space delimited);Parent;OER src;openstax KC;KC;Taxonomy;License
trigmodel1;problem;Showing How the Properties of a Trigonometric Function Can Transform a Graph;;;;;;;;;https://openstax.org/books/precalculus-2e/pages/7-6-modeling-with-trigonometric-functions;;Modeling with Trigonometric Functions;;
trigmodel1;step;Determine the amplitude of the function $$y=2sin(4x−\frac{π}{2})+2.$$;;2;algebra;;;;;;;;;;
trigmodel1;hint;Finding amplitude given equation;Given an equation f(x) = Asin(B(x-C)) + D, the amplitude is |A|.;;;h1;;;;;;;;;
trigmodel1;scaffold;Identify A;What is the value of A in the given equation?;2;algebra;s1;h1;;;;;;;;
trigmodel1;step;Determine the period of the function $$y=2sin(4x−\frac{π}{2})+2.$$;;$$\frac{\pi}{2}$$;algebra;;;;;;;;;;
trigmodel1;hint;Finding period given equation;Given an equation f(x) = Asin(B(x-C)) + D, the period is 2pi/B.;;;h1;;;;;;;;;
trigmodel1;scaffold;Identify B;What is the value of B in the given equation?;4;algebra;s1;h1;;;;;;;;
trigmodel1;step;Determine the phase shift of the function $$y=2sin(4x−\frac{π}{2})+2.$$;;$$\frac{\pi}{8}$$;algebra;;;;;;;;;;
trigmodel1;hint;Finding phase shift given equation;Given an equation f(x) = Asin(B(x-C)) + D, the phase shift is C. Remember to factor B out of the argument.;;;h1;;;;;;;;;
trigmodel1;scaffold;Rewrite the argument;Rewrite $$4x - \frac{\pi}{2}$$ in the form $$B(x-C)$$. What is C?;$$\frac{\pi}{8}$$;algebra;s1;h1;;;;;;;;
trigmodel1;step;Determine the vertical shift of the function $$y=2sin(4x−\frac{π}{2})+2.$$;;2;algebra;;;;;;;;;;
trigmodel1;hint;Finding vertical shift given equation;Given an equation f(x) = Asin(B(x-C)) + D, the vertical shift is D.;;;h1;;;;;;;;;
trigmodel1;scaffold;Identify D;What is the value of D in the given equation?;2;algebra;s1;h1;;;;;;;;
;;;;;;;;;;;;;;;
trigmodel2;problem;Finding the Amplitude and Period of a Function;Find the amplitude and period of the following functions and graph one cycle.;;;;;;;;https://openstax.org/books/precalculus-2e/pages/7-6-modeling-with-trigonometric-functions;;Modeling with Trigonometric Functions;;
trigmodel2;step;What is the amplitude of the function $$y=2sin(\frac{1}{4}x)$$?;;2;algebra;;;;;;;;;;
trigmodel2;hint;Finding amplitude given equation;Given an equation f(x) = Asin(Bx) + C, the amplitude is |A|.;;;h1;;;;;;;;;
trigmodel2;scaffold;Identify A;What is the value of A in the given equation?;2;algebra;s1;h1;;;;;;;;
trigmodel2;step;What is the period of the function $$y=2sin(\frac{1}{4}x)$$?;;$$8\pi$$;algebra;;;;;;;;;;
trigmodel2;hint;Finding period given equation;Given an equation f(x) = Asin(Bx) + C, the period is 2pi/B.;;;h1;;;;;;;;;
trigmodel2;scaffold;Identify B;What is the value of B in the given equation?;$$\frac{1}{4}$$;algebra;s1;h1;;;;;;;;
trigmodel2;step;What is the amplitude of the function $$y=−3sin(2x+\frac{π}{2})$$?;;3;algebra;;;;;;;;;;
trigmodel2;hint;Finding amplitude given equation;Given an equation f(x) = Asin(B(x-C)) + D, the amplitude is |A|.;;;h1;;;;;;;;;
trigmodel2;scaffold;Identify A;What is the value of A in the given equation?;-3;algebra;s1;h1;;;;;;;;
trigmodel2;step;What is the period of the function $$y=−3sin(2x+\frac{π}{2})$$?;;$$\pi$$;algebra;;;;;;;;;;
trigmodel2;hint;Finding period given equation;Given an equation f(x) = Asin(B(x-C)) + D, the period is 2pi/B.;;;h1;;;;;;;;;
trigmodel2;scaffold;Identify B;What is the value of B in the given equation?;2;algebra;s1;h1;;;;;;;;
trigmodel2;step;What is the amplitude of the function $$y=cosx+3$$?;;1;algebra;;;;;;;;;;
trigmodel2;hint;Finding amplitude given equation;Given an equation f(x) = Acos(Bx) + D, the amplitude is |A|.;;;h1;;;;;;;;;
trigmodel2;scaffold;Identify A;What is the value of A in the given equation?;1;algebra;s1;h1;;;;;;;;
trigmodel2;step;What is the period of the function $$y=cosx+3$$?;;$$2\pi$$;algebra;;;;;;;;;;
trigmodel2;hint;Finding period given equation;Given an equation f(x) = Acos(Bx) + D, the period is 2pi/B.;;;h1;;;;;;;;;
trigmodel2;scaffold;Identify B;What is the value of B in the given equation?;1;algebra;s1;h1;;;;;;;;
;;;;;;;;;;;;;;;
trigmodel3;problem;Graphing Sinusoidal Functions Using Key Points;;;;;;;;;https://openstax.org/books/precalculus-2e/pages/7-6-modeling-with-trigonometric-functions;;Modeling with Trigonometric Functions;;
trigmodel3;step;What is the amplitude of the function $$y=−4cos(πx)$$?;;4;algebra;;;;;;;;;;
trigmodel3;hint;Finding amplitude given equation;Given an equation f(x) = Acos(Bx) + D, the amplitude is |A|.;;;h1;;;;;;;;;
trigmodel3;scaffold;Identify A;What is the value of A in the given equation?;-4;algebra;s1;h1;;;;;;;;
trigmodel3;step;What is the period of the function $$y=−4cos(πx)$$?;;2;algebra;;;;;;;;;;
trigmodel3;hint;Finding period given equation;Given an equation f(x) = Acos(Bx) + D, the period is 2pi/B.;;;h1;;;;;;;;;
trigmodel3;scaffold;Identify B;What is the value of B in the given equation?;$$\pi$$;algebra;s1;h1;;;;;;;;
trigmodel3;step;What is the y-intercept of the function $$y=−4cos(πx)$$?;;(0, -4);algebra;;;;;;;;;;
trigmodel3;hint;Finding y-intercept;To find the y-intercept, set x=0 in the function and evaluate y.;;;h1;;;;;;;;;
trigmodel3;scaffold;Evaluate at x=0;What is the value of $$y$$ when $$x=0$$ for the function $$y=−4cos(πx)$$?;-4;algebra;s1;h1;;;;;;;;
trigmodel4;problem;Modeling an Equation and Sketching a Sinusoidal Graph to Fit Criteria;;;;;;;;;https://openstax.org/books/precalculus-2e/pages/7-6-modeling-with-trigonometric-functions;;Modeling with Trigonometric Functions;;
trigmodel4;step;Find a sinusoidal function of the form $$y=Asin(Bt−C)+D$$ that fits the given data.;;$$y=13.3sin(\frac{\pi}{6} t - \frac{5\pi}{6})+55.8$$;algebra;;;;;;;;;;
trigmodel4;hint;Identify the key parameters (A, D) from the data.;Recall that the midline D is the average of the maximum and minimum values, and the amplitude A is half the difference between the maximum and minimum values.;;;h1;;;;;;;;;
trigmodel4;scaffold;What is the midline (D) of the data?;(Max + Min) / 2;55.8;numeric;s1;h1;;;;;;;;
trigmodel4;scaffold;What is the amplitude (A) of the data?;(Max - Min) / 2;13.3;numeric;s2;h1;;;;;;;;
trigmodel4;hint;Determine the period and B value.;The period is the length of one full cycle. For a function of the form $$y=Asin(Bt−C)+D$$, the period is $$2\pi/B$$.;;;h2;;;;;;;;;
trigmodel4;scaffold;What is the period of the data?;The data covers 12 months for one full cycle.;12;numeric;s3;h2;;;;;;;;
trigmodel4;scaffold;Use the period to find B.;$$B = 2\pi / \text{Period}$$;$$\frac{\pi}{6}$$;algebra;s4;h2;;;;;;;;
trigmodel4;hint;Determine the phase shift (C).;For a sine function $$y=Asin(B(t-t_{shift}))+D$$, $$t_{shift}$$ is the time when the function crosses the midline going upwards. Then $$C = B \cdot t_{shift}$$.;;;h3;;;;;;;;;
trigmodel4;scaffold;Identify the time (t) when the function crosses the midline going upwards.;The minimum is at t=2 (February) and the maximum is at t=8 (August). The midline crossing going up occurs 1/4 of a period after the minimum.;5;numeric;s5;h3;;;;;;;;
trigmodel4;scaffold;Use the phase shift time to find C in the form $$y=Asin(Bt−C)+D$$.;If the function is $$y=Asin(B(t-t_{shift}))+D$$, then $$C = B \cdot t_{shift}$$. Substitute the value of B and the identified $$t_{shift}$$.;$$\frac{5\pi}{6}$$;algebra;s6;h3;;;;;;;;
;;;;;;;;;;;;;;;
trigmodel5;problem;Describing Periodic Motion;;;;;;;;;https://openstax.org/books/precalculus-2e/pages/7-6-modeling-with-trigonometric-functions;;Modeling with Trigonometric Functions;;
trigmodel5;step;Find the equation that models the motion of the clock, where $$y$$ is the distance from the tip of the hour hand to the ceiling $$x$$ hours after noon.;;$$y = -24cos(\frac{\pi}{6} x) + 54$$;algebra;;;;;;;;;;
trigmodel5;hint;Identify the key parameters (A, D) from the data.;Recall that the midline D is the average of the maximum and minimum values, and the amplitude A is half the difference between the maximum and minimum values.;;;h1;;;;;;;;;
trigmodel5;scaffold;What is the midline (D) of the data?;(Max + Min) / 2;54;numeric;s1;h1;;;;;;;;
trigmodel5;scaffold;What is the amplitude (A) of the data?;(Max - Min) / 2;24;numeric;s2;h1;;;;;;;;
trigmodel5;hint;Determine the period and B value.;The period is the length of one full cycle. For a function of the form $$y=Acos(B(x-C))+D$$, the period is $$2\pi/B$$.;;;h2;;;;;;;;;
trigmodel5;scaffold;What is the period of the motion?;The cycle repeats every 12 hours.;12;numeric;s3;h2;;;;;;;;
trigmodel5;scaffold;Use the period to find B.;$$B = 2\pi / \text{Period}$$;$$\frac{\pi}{6}$$;algebra;s4;h2;;;;;;;;
trigmodel5;hint;Determine the phase shift (C) and the form of the function.;Observe the starting point of the cycle (at x=0) to decide if it's a positive cosine, negative cosine, positive sine, or negative sine function, and its corresponding phase shift.;;;h3;;;;;;;;;
trigmodel5;scaffold;Does the function start at a maximum, minimum, or midline at $$x=0$$?;At noon (x=0), the tip is 30 inches from the ceiling, which is the minimum value.;Minimum;mc;s5;h3;Maximum|Minimum|Midline;;;;;;;
trigmodel5;scaffold;What is the phase shift (C) for a negative cosine function starting at a minimum at $$x=0$$?;For $$y=-Acos(B(x-C))+D$$, if the minimum is at $$x=0$$, then $$C=0$$.;0;numeric;s6;h3;;;;;;;;
trigmodel6;problem;Determining a Model for Tides;;;;;;;;;https://openstax.org/books/precalculus-2e/pages/7-6-modeling-with-trigonometric-functions;;Modeling with Trigonometric Functions;;
trigmodel6;step;Find an equation to model the water levels, where $$t$$ is the number of hours after 6 AM.;;$$y = -4cos(\frac{\pi}{6} t) + 11$$;algebra;;;;;;;;;;
trigmodel6;hint;Identify the key parameters (A, D) from the data.;Recall that the midline D is the average of the maximum and minimum values, and the amplitude A is half the difference between the maximum and minimum values.;;;h1;;;;;;;;;
trigmodel6;scaffold;What is the midline (D) of the water levels?;(Max + Min) / 2;11;numeric;s1;h1;;;;;;;;
trigmodel6;scaffold;What is the amplitude (A) of the water levels?;(Max - Min) / 2;4;numeric;s2;h1;;;;;;;;
trigmodel6;hint;Determine the period and B value.;The period is the length of one full cycle. For a function of the form $$y=Acos(B(t-C))+D$$, the period is $$2\pi/B$$.;;;h2;;;;;;;;;
trigmodel6;scaffold;What is the period of the tide cycle?;The cycle repeats approximately every 12 hours.;12;numeric;s3;h2;;;;;;;;
trigmodel6;scaffold;Use the period to find B.;$$B = 2\pi / \text{Period}$$;$$\frac{\pi}{6}$$;algebra;s4;h2;;;;;;;;
trigmodel6;hint;Determine the phase shift (C) and the form of the function.;Observe the starting point of the cycle (at t=0, which is 6 AM) to decide if it's a positive cosine, negative cosine, positive sine, or negative sine function, and its corresponding phase shift.;;;h3;;;;;;;;;
trigmodel6;scaffold;Does the function start at a maximum, minimum, or midline at $$t=0$$?;At 6 AM (t=0), low tide occurred, which is the minimum value.;Minimum;mc;s5;h3;Maximum|Minimum|Midline;;;;;;;
trigmodel6;scaffold;What is the phase shift (C) for a negative cosine function starting at a minimum at $$t=0$$?;For $$y=-Acos(B(t-C))+D$$, if the minimum is at $$t=0$$, then $$C=0$$.;0;numeric;s6;h3;;;;;;;;
;;;;;;;;;;;;;;;
trigmodel7;problem;Interpreting the Periodic Behavior Equation;;;;;;;;;https://openstax.org/books/precalculus-2e/pages/7-6-modeling-with-trigonometric-functions;;Modeling with Trigonometric Functions;;
trigmodel7;step;Determine the period of the function $$f(t)=20sin(160πt)+100$$.;;1/80;numeric;;;;;;;;;;
trigmodel7;hint;Recall the period formula;For a sinusoidal function $$f(t) = A\sin(Bt) + D$$, the period is given by $$T = \frac{2\pi}{|B|}$$.;;;h1;;;;;;;;;
trigmodel7;scaffold;Identify B;What is the value of $$B$$ in the given function $$f(t)=20sin(160πt)+100$$?;160π;7;s1;h1;;;;;;;;
trigmodel7;step;Determine the frequency of the function $$f(t)=20sin(160πt)+100$$.;;80;numeric;;;;;;;;;;
